iter	Passed	Remaining
725	2548	961
726	2553	958
727	2556	955
728	2560	951
729	2563	948
730	2566	944
731	2569	940
732	2572	937
733	2575	933
734	2578	929
735	2584	927
736	2587	923
737	2591	919
738	2594	916
739	2597	912
740	2600	909
741	2604	905
742	2607	901
743	2613	899
744	2616	895
745	2620	892
746	2623	888
747	2626	884
748	2630	881
749	2633	877
750	2636	874
751	2641	871
752	2644	867
753	2648	863
754	2651	860
755	2655	857
756	2658	853
757	2661	849
758	2667	846
759	2672	843
760	2675	840
761	2678	836
762	2681	832
763	2684	829
764	2687	825
765	2690	821
766	2695	818
767	2698	815
768	2702	811
769	2705	808
770	2708	804
771	2711	800
772	2714	797
773	2717	793
774	2720	789
775	2725	786
776	2729	783
777	2733	779
778	2736	776
779	2739	772
780	2742	768
781	2745	765
782	2748	761
783	2751	758
784	2756	754
785	2760	751
786	2763	748
787	2767	744
788	2769	740
789	2773	737
790	2776	733
791	2779	729
792	2784	726
793	2788	723
794	2791	719
795	2794	716
796	2797	712
797	2800	708
798	2803	705
799	2806	701
800	2811	698
801	2815	695
802	2819	691
803	2822	688
804	2825	684
805	2828	680
806	2831	677
807	2834	673
808	2838	670
809	2841	666
810	2844	662
811	2848	659
812	2851	655
813	2854	652
814	2857	648
815	2861	645
816	2865	641
817	2869	638
818	2872	634
819	2876	631
820	2879	627
821	2882	624
822	2885	620
823	2888	616
824	2891	613
825	2895	609
826	2898	606
827	2902	602
828	2906	599
829	2909	595
830	2912	592
831	2915	588
832	2918	585
833	2923	581
834	2927	578
835	2930	574
836	2933	571
837	2936	567
838	2940	564
839	2943	560
840	2946	557
841	2950	553
842	2955	550
843	2958	546
844	2961	543
845	2964	539
846	2967	536
847	2970	532
848	2973	528
849	2976	525
850	2979	521
851	2984	518
852	2988	515
853	2992	511
854	2995	508
855	2998	504
856	3002	500
857	3005	497
858	3008	493
859	3012	490
860	3015	486
861	3018	483
862	3022	479
863	3025	476
864	3028	472
865	3031	469
866	3035	465
867	3039	462
868	3043	458
869	3046	455
870	3049	451
871	3053	448
872	3056	444
873	3059	441
874	3062	437
875	3068	434
876	3071	430
877	3075	427
878	3078	423
879	3082	420
880	3085	416
881	3088	413
882	3091	409
883	3096	406
884	3100	402
885	3103	399
886	3106	395
887	3109	392
888	3113	388
889	3117	385
890	3120	381
891	3123	378
892	3126	374
893	3129	371
894	3133	367
895	3136	364
896	3140	360
897	3143	357
898	3147	353
899	3150	350
900	3153	346
901	3157	343
902	3160	339
903	3163	335
904	3167	332
905	3170	328
906	3173	325
907	3177	321
908	3180	318
909	3184	314
910	3188	311
911	3191	307
912	3194	304
913	3197	300
914	3201	297
915	3205	293
916	3208	290
917	3211	286
918	3215	283
919	3218	279
920	3221	276
921	3224	272
922	3228	269
923	3231	265
924	3235	262
925	3238	258
926	3241	255
927	3245	251
928	3248	248
929	3252	244
930	3256	241
931	3259	237
932	3263	234
933	3266	230
934	3270	227
935	3273	223
936	3276	220
937	3279	216
938	3282	213
939	3285	209
940	3289	206
941	3292	202
942	3295	199
943	3299	195
944	3302	192
945	3305	188
946	3308	185
947	3312	181
948	3315	178
949	3319	174
950	3322	171
951	3325	167
952	3329	164
953	3332	160
954	3335	157
955	3338	153
956	3341	150
957	3346	146
958	3349	143
959	3352	139
960	3356	136
961	3359	132
962	3362	129
963	3366	125
964	3369	122
965	3373	118
966	3377	115
967	3381	111
968	3384	108
969	3388	104
970	3391	101
971	3394	97
972	3398	94
973	3401	90
974	3405	87
975	3408	83
976	3411	80
977	3414	76
978	3418	73
979	3421	69
980	3424	66
981	3428	62
982	3432	59
983	3435	55
984	3439	52
985	3442	48
986	3445	45
987	3448	41
988	3451	38
989	3458	34
990	3462	31
991	3466	27
992	3469	24
993	3472	20
994	3476	17
995	3479	13
996	3483	10
997	3487	6
998	3490	3
999	3494	0
